,timestamp,open,high,low,close,volume,trades
0,15-12-2021 00:30:00,48386.95,48773.04,48238.5,48509.09,31.96133754,387
1,15-12-2021 01:00:00,48472.17,48536.79,48097.3,48163.91,25.89037084,279
2,15-12-2021 01:30:00,48127.51,48200.12,48074.4,48137.79,8.99047907,196
3,15-12-2021 02:00:00,48157.8,48187.22,47999.99,48074.63,9.68992731,168
4,15-12-2021 02:30:00,48104.5,48119.61,47860.38,47949.9,40.31551759,291
5,15-12-2021 03:00:00,47949.9,48027.38,47878.32,48017.42,21.18708505,232
6,15-12-2021 03:30:00,48018.37,48133.85,47941.12,48070.38,9.44164641,191
7,15-12-2021 04:00:00,48118.48,48306.98,48050.0,48280.26,6.09946764,171
8,15-12-2021 04:30:00,48303.04,48439.0,48102.39,48404.04,23.62789871,326
9,15-12-2021 05:00:00,48422.2,48450.99,48200.0,48249.83,6.46357315,166
10,15-12-2021 05:30:00,48269.83,48329.12,48076.16,48109.83,5.95706502,155
11,15-12-2021 06:00:00,48112.8,48213.22,48062.23,48127.11,55.48064838,277
12,15-12-2021 06:30:00,48153.5,48329.62,48080.0,48290.34,30.21300816,283
13,15-12-2021 07:00:00,48267.87,48339.15,48032.76,48097.97,15.1070268,193
14,15-12-2021 07:30:00,48103.46,48349.0,47953.83,48177.57,26.37866622,272
15,15-12-2021 08:00:00,48177.43,48316.02,48129.1,48231.93,6.82654173,177
16,15-12-2021 08:30:00,48231.93,48568.59,48231.93,48517.6,26.83821833,337
17,15-12-2021 09:00:00,48560.36,48785.37,48503.88,48597.69,28.83698446,348
18,15-12-2021 09:30:00,48581.88,48629.66,48427.79,48494.77,22.69074221,235
19,15-12-2021 10:00:00,48492.57,48581.59,48374.47,48491.35,32.51755731,261
20,15-12-2021 10:30:00,48500.0,48641.48,48284.56,48370.15,19.07305771,205
21,15-12-2021 11:00:00,48378.55,48378.55,48157.3,48271.93,24.89452405,198
22,15-12-2021 11:30:00,48301.84,48389.91,48115.0,48143.11,25.75923929,244
23,15-12-2021 12:00:00,48137.61,48306.84,48137.61,48162.31,15.67067724,149
24,15-12-2021 12:30:00,48153.39,48317.36,48079.74,48277.79,39.33213441,266
25,15-12-2021 13:00:00,48288.88,48291.31,47560.04,47623.75,94.00998938,642
26,15-12-2021 13:30:00,47609.18,47735.35,47446.1,47645.22,48.82093959,392
27,15-12-2021 14:00:00,47620.82,47829.0,47585.71,47680.93,91.20031454,534
28,15-12-2021 14:30:00,47660.39,47788.03,47590.01,47711.63,13.23594258,317
29,15-12-2021 15:00:00,47711.63,47736.09,47219.04,47391.95,43.85127134,434
30,15-12-2021 15:30:00,47367.81,47486.9,46890.98,46996.88,131.62513929,882
31,15-12-2021 16:00:00,46988.78,47188.01,46588.88,46615.31,105.05587059,704
32,15-12-2021 16:30:00,46642.03,47055.57,46560.0,47004.45,231.97490464,773
33,15-12-2021 17:00:00,46986.22,47059.28,46680.0,47029.48,58.54619406,631
34,15-12-2021 17:30:00,47020.06,47162.44,46901.34,47036.82,20.83369283,393
35,15-12-2021 18:00:00,47049.66,47384.37,47040.43,47116.42,28.572804,397
36,15-12-2021 18:30:00,47100.0,47395.97,47044.73,47297.25,28.23648645,379
37,15-12-2021 19:00:00,47319.43,48249.44,47280.85,47835.84,104.41106578,941
38,15-12-2021 19:30:00,47829.28,49310.26,47260.0,48131.95,399.90080207,2631
39,15-12-2021 20:00:00,48107.36,48921.64,47934.18,48671.66,203.34331796,1680
40,15-12-2021 20:30:00,48668.96,49361.49,48555.0,49278.86,142.98032982,1297
41,15-12-2021 21:00:00,49326.06,49514.85,49067.15,49195.93,109.70037697,819
42,15-12-2021 21:30:00,49272.13,49391.48,48941.87,49177.7,38.04703264,527
43,15-12-2021 22:00:00,49145.66,49281.5,49011.45,49197.78,53.09039896,449
44,15-12-2021 22:30:00,49190.06,49253.38,48846.77,48914.47,22.64552634,455
45,15-12-2021 23:00:00,48910.95,48936.99,48688.33,48766.86,24.17227133,300
46,15-12-2021 23:30:00,48803.16,48974.91,48777.33,48840.82,27.4640699,299
47,16-12-2021 00:00:00,48834.52,48961.46,48715.54,48876.84,12.3896739,221
48,16-12-2021 00:30:00,48876.84,49157.6,48764.82,49045.34,21.9223698,279
49,16-12-2021 01:00:00,49076.18,49275.05,48982.64,49058.33,22.7612267,301
